First node: NFK = (LMH, RSS)
Navigating: NFK = (LMH, RSS) -> L: LMH
Navigating: LMH = (MGG, CNL) -> R: CNL
Navigating: CNL = (VJJ, JBV) -> R: JBV
Navigating: JBV = (NTR, CTR) -> L: NTR
Navigating: NTR = (VRB, XBB) -> R: XBB
Navigating: XBB = (PRG, PGG) -> L: PRG
Navigating: PRG = (RQJ, PJM) -> R: PJM
Navigating: PJM = (SQM, RQX) -> R: RQX
Navigating: RQX = (TFQ, BCL) -> L: TFQ
Navigating: TFQ = (TPT, KLB) -> R: KLB
Navigating: KLB = (LFV, SPT) -> R: SPT
Navigating: SPT = (PVB, FHF) -> R: FHF
Navigating: FHF = (VCB, BKJ) -> L: VCB
Navigating: VCB = (LPK, FSK) -> R: FSK
Navigating: FSK = (XCM, VXL) -> L: XCM
Navigating: XCM = (DCK, FMG) -> R: FMG
Navigating: FMG = (DSL, QPR) -> L: DSL
Navigating: DSL = (MST, MST) -> R: MST
Navigating: MST = (RFN, RFN) -> R: RFN
Navigating: RFN = (QRH, FRS) -> L: QRH
Navigating: QRH = (BTG, FJP) -> R: FJP
Navigating: FJP = (GCL, KXF) -> R: KXF
Navigating: KXF = (MKB, RBQ) -> R: RBQ
Navigating: RBQ = (PMG, HXX) -> L: PMG
Navigating: PMG = (TXD, MHH) -> R: MHH
Navigating: MHH = (HBN, FJC) -> R: FJC
Navigating: FJC = (TTJ, XHB) -> R: XHB
Navigating: XHB = (RMQ, XHJ) -> L: RMQ
Navigating: RMQ = (RFV, BRS) -> R: BRS
Navigating: BRS = (LRK, NFD) -> R: NFD
Navigating: NFD = (CKB, HXV) -> L: CKB
Navigating: CKB = (CQP, RMT) -> R: RMT
Navigating: RMT = (RFK, TCK) -> R: TCK
Navigating: TCK = (CRB, VMS) -> R: VMS
Navigating: VMS = (PXP, PPH) -> L: PXP
Navigating: PXP = (VFH, DLR) -> R: DLR
Navigating: DLR = (XTT, HMF) -> L: XTT
Navigating: XTT = (BGH, QKN) -> R: QKN
Navigating: QKN = (LFQ, MDJ) -> L: LFQ
Navigating: LFQ = (LSB, RLM) -> R: RLM
Navigating: RLM = (XKQ, XXB) -> L: XKQ
Navigating: XKQ = (HCJ, SHG) -> R: SHG
Navigating: SHG = (PBF, PJB) -> L: PBF
Navigating: PBF = (PPD, TBV) -> R: TBV
Navigating: TBV = (BSL, FKK) -> L: BSL
Navigating: BSL = (HSD, BPP) -> R: BPP
Navigating: BPP = (MGC, CGB) -> L: MGC
Navigating: MGC = (RLV, DPR) -> R: DPR
Navigating: DPR = (GRM, HLQ) -> R: HLQ
Navigating: HLQ = (FXR, KKJ) -> R: KKJ
Navigating: KKJ = (BGQ, LFM) -> L: BGQ
Navigating: BGQ = (HCK, GGQ) -> R: GGQ
Navigating: GGQ = (JGS, DFX) -> R: DFX
Navigating: DFX = (CHF, VMH) -> L: CHF
Navigating: CHF = (PKK, RTL) -> R: RTL
Navigating: RTL = (GBQ, MQG) -> R: MQG
Navigating: MQG = (HJH, BHT) -> R: BHT
Navigating: BHT = (GBF, DRL) -> L: GBF
Navigating: GBF = (VGV, VPP) -> L: VGV
Navigating: VGV = (SNX, QBN) -> L: SNX
Navigating: SNX = (KQM, PKR) -> L: KQM
Navigating: KQM = (SBS, RSQ) -> R: RSQ
Navigating: RSQ = (TDM, CQC) -> R: CQC
Navigating: CQC = (QML, DKK) -> R: DKK
Navigating: DKK = (LBN, FRH) -> L: LBN
Navigating: LBN = (CCG, JRV) -> R: JRV
Navigating: JRV = (QBM, BQR) -> L: QBM
Navigating: QBM = (KKF, LGC) -> L: KKF
Navigating: KKF = (SGL, NNN) -> L: SGL
Navigating: SGL = (QPC, FJF) -> R: FJF
Navigating: FJF = (XXR, JLJ) -> R: JLJ
Navigating: JLJ = (DRR, MCV) -> R: MCV
Navigating: MCV = (TKJ, NFK) -> L: TKJ
Navigating: TKJ = (LMH, RSS) -> L: LMH
Navigating: LMH = (MGG, CNL) -> R: CNL
Navigating: CNL = (VJJ, JBV) -> L: VJJ
Navigating: VJJ = (CTR, NTR) -> L: CTR
Navigating: CTR = (XBB, VRB) -> R: VRB
Navigating: VRB = (PGG, PRG) -> R: PRG
Navigating: PRG = (RQJ, PJM) -> R: PJM
Navigating: PJM = (SQM, RQX) -> L: SQM
Navigating: SQM = (TFQ, BCL) -> R: BCL
Navigating: BCL = (KLB, TPT) -> R: TPT
Navigating: TPT = (SPT, LFV) -> R: LFV
Navigating: LFV = (PVB, FHF) -> L: PVB
Navigating: PVB = (VCB, BKJ) -> R: BKJ
Navigating: BKJ = (FSK, LPK) -> L: FSK
Navigating: FSK = (XCM, VXL) -> R: VXL
Navigating: VXL = (DCK, FMG) -> R: FMG
Navigating: FMG = (DSL, QPR) -> L: DSL
Navigating: DSL = (MST, MST) -> R: MST
Navigating: MST = (RFN, RFN) -> R: RFN
Navigating: RFN = (QRH, FRS) -> R: FRS
Navigating: FRS = (BTG, FJP) -> L: BTG
Navigating: BTG = (KXF, GCL) -> R: GCL
Navigating: GCL = (RBQ, MKB) -> R: MKB
Navigating: MKB = (HXX, PMG) -> R: PMG
Navigating: PMG = (TXD, MHH) -> L: TXD
Navigating: TXD = (HBN, FJC) -> L: HBN
Navigating: HBN = (TTJ, XHB) -> R: XHB
Navigating: XHB = (RMQ, XHJ) -> R: XHJ
Navigating: XHJ = (BRS, RFV) -> R: RFV
Navigating: RFV = (LRK, NFD) -> L: LRK
Navigating: LRK = (CKB, HXV) -> R: HXV
